file,decile,mean_energy,fragile_fraction,mean_abs_diff,d_rs_per_bit,d_spa_per_bit,flips,domain
nature1.wav,0,24.980319234077854,0.23463157929121847,6.682740395451621,1.0444999999999999e-07,5.955849999999999e-08,20000,ambient
nature1.wav,1,42.94271581060939,0.1537546526713441,9.960504171473202,9.555e-08,3.80315e-08,20000,ambient
nature1.wav,2,66.07535446458192,0.14600333994568504,12.55214334968447,7.925000000000001e-08,3.0335e-08,20000,ambient
nature1.wav,3,109.48087150652727,0.13701652041766754,14.603673382682157,6.33e-08,1.49125e-08,20000,ambient
nature1.wav,4,168.03291301595686,0.13306160338104406,14.423833353489725,1.0169999999999999e-07,3.659949999999999e-08,20000,ambient
nature1.wav,5,246.75251376687365,0.12576036399412954,15.486485868097889,5.885000000000001e-08,2.1853499999999998e-08,20000,ambient
nature1.wav,6,353.2139305585837,0.12119498602690026,15.013423981434572,8.065e-08,2.19965e-08,20000,ambient
nature1.wav,7,528.1020569346827,0.10406112937700589,14.491682299803252,8.445e-08,2.58255e-08,20000,ambient
nature1.wav,8,918.304151833884,0.07914480090447466,16.120957148552122,8.534999999999999e-08,3.6098000000000003e-08,20000,ambient
nature1.wav,9,2428.0978928914765,0.03941296914953024,30.162181314680016,5.48e-08,1.0692e-08,20000,ambient
nature10.wav,0,36.75308128520856,0.09129615982968968,13.659207401948743,1.3755e-07,4.9745499999999994e-08,20000,ambient
nature10.wav,1,45.88901437185633,0.063127631341841,15.458152449912356,4.495e-08,1.084949999999999e-08,20000,ambient
nature10.wav,2,54.03230221506286,0.05666366317169069,17.164449541284405,7.604999999999998e-08,2.1199e-08,20000,ambient
nature10.wav,3,65.494876383884,0.04800907516084248,20.748983344458868,8.5e-09,6.72499999999996e-10,20000,ambient
nature10.wav,4,91.84622544909907,0.03413106229655864,30.70188547914918,5.549999999999999e-09,2.816999999999989e-09,20000,ambient
nature10.wav,5,149.64522100580345,0.020225427538516336,51.609354464947366,2.2400000000000002e-08,4.624999999999855e-10,20000,ambient
nature10.wav,6,265.2346536673198,0.010943615610107593,92.23103188510227,6.72e-08,1.37945e-08,20000,ambient
